p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MAGEH1	5.0004170238288e-24	0.266170256792626	0.312	0.058	9.70730956835885e-20	Fibroblasts	MAGEH1
PEBP1	5.67714214538178e-24	0.590928130419313	0.844	0.484	1.10210360468297e-19	Fibroblasts	PEBP1
TRIP10	5.87609293197303e-24	0.380445918103272	0.262	0.045	1.14072592088392e-19	Fibroblasts	TRIP10
CIRBP	6.42393465651376e-24	0.596360158452665	0.908	0.602	1.24707843486902e-19	Fibroblasts	CIRBP
RCN21	6.45139016614583e-24	0.467896401951904	0.468	0.138	1.25240837295389e-19	Fibroblasts	RCN2
CCND11	6.64591720526961e-24	0.315233822938234	0.298	0.055	1.29017190705899e-19	Fibroblasts	CCND1
CALU1	1.061090469548e-23	0.541529925608431	0.44	0.131	2.05989492853354e-19	Fibroblasts	CALU
ANO6	1.39836638107704e-23	0.424190856561876	0.291	0.056	2.71464865558487e-19	Fibroblasts	ANO6
TMEM2051	1.70868441365999e-23	0.447912340385648	0.482	0.151	3.31706905223813e-19	Fibroblasts	TMEM205
STOM1	1.89384286118116e-23	0.67562671415149	0.596	0.22	3.67651714641099e-19	Fibroblasts	STOM
TMEM35B	1.94450269286008e-23	0.520238866543374	0.582	0.212	3.77486307764928e-19	Fibroblasts	TMEM35B
ACTN11	1.97011593027311e-23	0.516695542409788	0.418	0.121	3.82458605543918e-19	Fibroblasts	ACTN1
MTRNR2L121	4.91377619715215e-23	0.642991331922827	0.596	0.234	9.53911373153147e-19	Fibroblasts	MTRNR2L12
ROCK21	6.97172493486886e-23	0.451040915336544	0.298	0.061	1.35342096160609e-18	Fibroblasts	ROCK2
LPP	9.20182680394203e-23	0.595134028764366	0.489	0.164	1.78635063744927e-18	Fibroblasts	LPP
PRDX5	9.87594369743118e-23	0.515014815439192	0.738	0.339	1.91721694998231e-18	Fibroblasts	PRDX5
CSF1	1.21151518040889e-22	0.279732995649317	0.262	0.044	2.35191441972779e-18	Fibroblasts	CSF1
NAP1L1	1.23623915974738e-22	0.673593490279965	0.922	0.733	2.39991108081759e-18	Fibroblasts	NAP1L1
TMEM9	1.28344929461684e-22	0.323384324178816	0.298	0.061	2.49156011563967e-18	Fibroblasts	TMEM9
ITM2C	1.60724636720017e-22	0.707812762448404	0.553	0.193	3.12014737264568e-18	Fibroblasts	ITM2C
USP53	1.7029283294932e-22	0.473594247082111	0.362	0.087	3.30589476604514e-18	Fibroblasts	USP53
CAV21	1.96138929403632e-22	0.447023717485868	0.312	0.066	3.80764503651271e-18	Fibroblasts	CAV2
KDELR1	2.12423591200885e-22	0.483315623706281	0.596	0.228	4.12377917598278e-18	Fibroblasts	KDELR1
RGS16	2.21165322706462e-22	1.1343579647113	0.39	0.106	4.29348240970055e-18	Fibroblasts	RGS16
FOS1	2.43513214846014e-22	1.46284676037268	0.702	0.395	4.72732203980567e-18	Fibroblasts	FOS
GEM	3.73700634479262e-22	0.474052441719914	0.305	0.064	7.25465041714592e-18	Fibroblasts	GEM
SPATS2L	4.36758312365915e-22	0.515619575842159	0.496	0.168	8.47878911795951e-18	Fibroblasts	SPATS2L
P4HB1	4.88158102816067e-22	0.654316013836278	0.752	0.385	9.4766132499683e-18	Fibroblasts	P4HB
NENF	5.86792136946706e-22	0.575243782795163	0.723	0.329	1.13913957545464e-17	Fibroblasts	NENF
BSG1	6.13251417904657e-22	0.609217991765222	0.723	0.353	1.19050497757831e-17	Fibroblasts	BSG
IL6ST1	8.37996627207925e-22	0.387596657038624	0.617	0.231	1.62680285239874e-17	Fibroblasts	IL6ST
MAP1LC3A	8.39430510592204e-22	0.490158324718515	0.44	0.129	1.62958645021265e-17	Fibroblasts	MAP1LC3A
ZNF106	1.08081910296751e-21	0.525404919279947	0.433	0.134	2.09819412459082e-17	Fibroblasts	ZNF106
RRAS1	1.47383171061689e-21	0.374694571573212	0.298	0.064	2.86114949982057e-17	Fibroblasts	RRAS
CHID1	1.58589252602274e-21	0.402552025576018	0.411	0.121	3.07869316076794e-17	Fibroblasts	CHID1
ARL1	1.76171404473775e-21	0.458662942357806	0.383	0.105	3.4200154750494e-17	Fibroblasts	ARL1
ITM2B2	3.29963750992526e-21	0.544743286767889	0.915	0.735	6.4055862980179e-17	Fibroblasts	ITM2B
NME41	4.33176134438109e-21	0.404036789197227	0.411	0.125	8.409248297847e-17	Fibroblasts	NME4
JADE1	4.55112569083883e-21	0.390258935082597	0.383	0.099	8.83510030362543e-17	Fibroblasts	JADE1
PRDX41	4.77195099755844e-21	0.458620971234284	0.454	0.146	9.2637884715602e-17	Fibroblasts	PRDX4
ARL21	5.0490159717521e-21	0.497486968334852	0.504	0.186	9.80165470596235e-17	Fibroblasts	ARL2
FLNA1	5.81268827755084e-21	0.5608843668378	0.681	0.296	1.12841717532094e-16	Fibroblasts	FLNA
C5orf15	7.46669608135134e-21	0.36973643306964	0.404	0.117	1.44950971027274e-16	Fibroblasts	C5orf15
VKORC1	7.48657951807214e-21	0.576872546314849	0.617	0.272	1.45336968184334e-16	Fibroblasts	VKORC1
ALDH1A1	9.77431834720166e-21	0.555776157694532	0.39	0.113	1.89748842074226e-16	Fibroblasts	ALDH1A1
NORAD	1.61373167405683e-20	0.444161098471996	0.496	0.17	3.13273729884652e-16	Fibroblasts	NORAD
ANXA51	3.01688359792819e-20	0.571517502030122	0.837	0.451	5.85667612865799e-16	Fibroblasts	ANXA5
MMP14	3.09223438271137e-20	0.437957453909355	0.326	0.083	6.00295460715759e-16	Fibroblasts	MMP14
MBNL21	3.48540910303359e-20	0.395251221243533	0.348	0.091	6.7662246917191e-16	Fibroblasts	MBNL2
OS91	3.71140479951391e-20	0.514412818115397	0.56	0.225	7.20495013729634e-16	Fibroblasts	OS9
ST3GAL4	4.03566195602507e-20	0.426291528286825	0.298	0.067	7.83443055523146e-16	Fibroblasts	ST3GAL4
AAMDC	5.98284196558685e-20	0.413209022558047	0.362	0.101	1.16144911077937e-15	Fibroblasts	AAMDC
MAFB1	6.43370184208912e-20	0.495607141108759	0.44	0.137	1.24897453860476e-15	Fibroblasts	MAFB
TMED1	7.8750627349681e-20	0.257316917657337	0.262	0.054	1.52878592873936e-15	Fibroblasts	TMED1
PCYOX1	8.04133958630992e-20	0.339660312244652	0.262	0.054	1.56106525389035e-15	Fibroblasts	PCYOX1
OAZ21	1.00085340529309e-19	0.582358400784539	0.482	0.172	1.94295671569547e-15	Fibroblasts	OAZ2
HSP90B1	1.02471830342555e-19	0.615021471266489	0.809	0.455	1.98928564244002e-15	Fibroblasts	HSP90B1
TCEAL1	1.14279913903725e-19	0.349520615135304	0.284	0.064	2.21851596861301e-15	Fibroblasts	TCEAL1
NUCB21	1.15785172835838e-19	0.424803384366628	0.461	0.155	2.24773756026212e-15	Fibroblasts	NUCB2
FGFR11	1.40581311170721e-19	0.397560521754359	0.376	0.103	2.7291049937572e-15	Fibroblasts	FGFR1
H1F01	1.44559384542671e-19	0.476992410292897	0.312	0.078	2.80633133212688e-15	Fibroblasts	H1F0
TMEM106C	1.58175541444046e-19	0.486608737094728	0.291	0.069	3.07066178605326e-15	Fibroblasts	TMEM106C
SORBS31	1.6083729681934e-19	0.276521898072963	0.291	0.066	3.12233444315385e-15	Fibroblasts	SORBS3
NOTCH2	1.7311267169329e-19	0.306936491792284	0.27	0.057	3.36063629558184e-15	Fibroblasts	NOTCH2
GCSH	1.9342828130351e-19	0.350321285590985	0.34	0.093	3.75502322494505e-15	Fibroblasts	GCSH
KIAA0040	1.94642883252307e-19	0.472777470650451	0.312	0.075	3.77860229257703e-15	Fibroblasts	KIAA0040
RABAC11	1.95362570979055e-19	0.481017018260858	0.759	0.386	3.79257359041639e-15	Fibroblasts	RABAC1
SLC38A2	1.9930973051796e-19	0.518284151723507	0.681	0.31	3.86919979854516e-15	Fibroblasts	SLC38A2
EI241	2.14442561286476e-19	0.454084913256309	0.426	0.138	4.16297344225435e-15	Fibroblasts	EI24
DAD11	2.33269802950852e-19	0.544321544165635	0.78	0.432	4.52846668468489e-15	Fibroblasts	DAD1
DYNC1I21	2.4105764431819e-19	0.498208967331365	0.539	0.21	4.67965204914902e-15	Fibroblasts	DYNC1I2
TMEM87A	2.49540713690638e-19	0.408336394748296	0.411	0.124	4.84433387487636e-15	Fibroblasts	TMEM87A
FAM13A	2.97021677396347e-19	0.253008008721261	0.284	0.061	5.76608182329529e-15	Fibroblasts	FAM13A
NDUFS41	3.13525499690756e-19	0.529853535732282	0.603	0.266	6.08647052549664e-15	Fibroblasts	NDUFS4
CZIB	4.82055225542595e-19	0.371730096975832	0.39	0.12	9.3581380934584e-15	Fibroblasts	CZIB
GPAA1	5.6949611975537e-19	0.433971172393686	0.404	0.13	1.1055628172811e-14	Fibroblasts	GPAA1
GINM11	6.06731412716933e-19	0.344157658055191	0.383	0.115	1.17784769150738e-14	Fibroblasts	GINM1
TAX1BP31	7.20848569228713e-19	0.496607028749336	0.504	0.199	1.3993833274437e-14	Fibroblasts	TAX1BP3
ZSCAN18	7.46325263289817e-19	0.270825602770409	0.255	0.052	1.44884123362452e-14	Fibroblasts	ZSCAN18
APLP21	8.35876514380815e-19	0.487796078055237	0.695	0.317	1.62268707736748e-14	Fibroblasts	APLP2
ESD	8.89630283665717e-19	0.540788207112797	0.567	0.246	1.72703926968026e-14	Fibroblasts	ESD
DAAM11	9.36894725838019e-19	0.445778418713713	0.39	0.115	1.81879373126935e-14	Fibroblasts	DAAM1
GADD45B1	1.2045069181791e-18	0.951415804251003	0.702	0.407	2.33830928026109e-14	Fibroblasts	GADD45B
SLC39A7	1.21264635362187e-18	0.336309666617985	0.291	0.07	2.35411036628613e-14	Fibroblasts	SLC39A7
MPZL11	2.253909470578e-18	0.332335350800658	0.312	0.082	4.37551445523308e-14	Fibroblasts	MPZL1
HSPA1A1	2.40248136275299e-18	1.25401764122632	0.716	0.407	4.66393706951239e-14	Fibroblasts	HSPA1A
AIG1	2.63476063157772e-18	0.434865649391569	0.376	0.117	5.11486081408183e-14	Fibroblasts	AIG1
PLD31	2.6825222226872e-18	0.301905382022453	0.539	0.195	5.20758039090266e-14	Fibroblasts	PLD3
ADI1	2.93922646062823e-18	0.531143245989215	0.539	0.225	5.70592032801758e-14	Fibroblasts	ADI1
SEPTIN71	3.17475092905354e-18	0.572116708179663	0.801	0.482	6.16314397857165e-14	Fibroblasts	SEPTIN7
ATF31	3.31221369708192e-18	0.912550293306828	0.475	0.188	6.43000045014513e-14	Fibroblasts	ATF3
SLC39A11	3.52331945938922e-18	0.341234911958978	0.383	0.119	6.8398200665123e-14	Fibroblasts	SLC39A1
PHF141	3.92695823692209e-18	0.359889038314824	0.468	0.16	7.62340402533685e-14	Fibroblasts	PHF14
EMC2	4.58920030468163e-18	0.297605907999312	0.298	0.075	8.90901455147846e-14	Fibroblasts	EMC2
TXNDC5	6.21481997197919e-18	0.314676747317245	0.277	0.065	1.20648300116032e-13	Fibroblasts	TXNDC5
GPM6B	6.76551171451182e-18	0.366897564836916	0.319	0.082	1.31338878913818e-13	Fibroblasts	GPM6B
QSOX1	7.85896896672856e-18	0.645651800064516	0.426	0.156	1.52566164551101e-13	Fibroblasts	QSOX1
AK3	7.91410039974989e-18	0.284024026083529	0.355	0.102	1.53636431060345e-13	Fibroblasts	AK3
NDUFC21	8.14946090471759e-18	0.471508225511205	0.745	0.382	1.58205484543283e-13	Fibroblasts	NDUFC2
REXO21	8.15958569659411e-18	0.390409858059246	0.411	0.139	1.58402037127982e-13	Fibroblasts	REXO2
IMPDH2	8.42358938070144e-18	0.443998311649044	0.489	0.186	1.63527140647557e-13	Fibroblasts	IMPDH2
SNHG19	8.45209076637446e-18	0.35218435454443	0.255	0.055	1.64080438047627e-13	Fibroblasts	SNHG19
CLU1	8.60388313326868e-18	1.35066737900334	0.411	0.136	1.67027183266145e-13	Fibroblasts	CLU
PMEPA1	1.15593300215605e-17	0.309625681490001	0.404	0.124	2.24401273708555e-13	Fibroblasts	PMEPA1
VPS25	1.17972494619898e-17	0.332724256157208	0.255	0.058	2.29020003805608e-13	Fibroblasts	VPS25
AK1	1.22393314174432e-17	0.284248365680893	0.284	0.068	2.37602140806825e-13	Fibroblasts	AK1
FCGRT2	1.63282070194748e-17	0.361019235386149	0.688	0.29	3.16979482869064e-13	Fibroblasts	FCGRT
C1orf542	1.68970049708795e-17	0.415155477290394	0.433	0.146	3.28021557499685e-13	Fibroblasts	C1orf54
PTEN1	1.96356837344604e-17	0.564230653390866	0.496	0.197	3.81187528337080e-13	Fibroblasts	PTEN
HEBP1	2.47862087115562e-17	0.341008368742925	0.383	0.125	4.8117466971744e-13	Fibroblasts	HEBP1
ZYX	2.52626119090834e-17	0.616661446679793	0.44	0.167	4.90423084991035e-13	Fibroblasts	ZYX
SDF41	2.5566597864735e-17	0.476761385810489	0.504	0.205	4.96324364348101e-13	Fibroblasts	SDF4
TRIP6	3.34491319251361e-17	0.383931882827311	0.262	0.064	6.49347998062668e-13	Fibroblasts	TRIP6
DCTN21	4.07019533137558e-17	0.438502153035943	0.433	0.158	7.90147019679942e-13	Fibroblasts	DCTN2
SPCS2	4.61001345091067e-17	0.550500020602297	0.738	0.394	8.94941911225288e-13	Fibroblasts	SPCS2
MGST31	4.79724090816329e-17	0.50164166936566	0.716	0.362	9.3128837750174e-13	Fibroblasts	MGST3
POLR2G1	5.57964472068582e-17	0.422437152237019	0.468	0.178	1.08317642962674e-12	Fibroblasts	POLR2G
SMIM14	8.4473268608133e-17	0.395594981602423	0.418	0.149	1.63987956348969e-12	Fibroblasts	SMIM14
SRGAP11	1.00354015581396e-16	0.381967545850772	0.305	0.084	1.94817250448165e-12	Fibroblasts	SRGAP1
GSTP11	2.27025193549501e-16	0.377394471710287	0.879	0.46	4.40724008237645e-12	Fibroblasts	GSTP1
PGRMC21	2.4367362014987e-16	0.320316189613005	0.326	0.095	4.73043598796943e-12	Fibroblasts	PGRMC2
MAP41	2.61504034926412e-16	0.343016940627699	0.44	0.156	5.07657783002644e-12	Fibroblasts	MAP4
NTPCR	2.90278784470649e-16	0.278712097763137	0.298	0.084	5.6351820429287e-12	Fibroblasts	NTPCR
LRPAP1	2.96504707363256e-16	0.39248370316192	0.645	0.296	5.75604588404288e-12	Fibroblasts	LRPAP1
SARS	3.19984393217611e-16	0.357978528188425	0.44	0.159	6.21185702553348e-12	Fibroblasts	SARS
C1orf122	3.30035776224624e-16	0.429749604492971	0.404	0.146	6.40698452384863e-12	Fibroblasts	C1orf122
CYHR1	4.0096019227685e-16	0.340348495221895	0.277	0.072	7.7838402126705e-12	Fibroblasts	CYHR1
HYI	4.64209558792468e-16	0.304909804696313	0.291	0.078	9.01170016483818e-12	Fibroblasts	HYI
CNP	4.979995308995e-16	0.346386202569465	0.305	0.087	9.667664893352e-12	Fibroblasts	CNP
TRAPPC2L	5.11283545355412e-16	0.412190422317843	0.44	0.167	9.92554746598461e-12	Fibroblasts	TRAPPC2L
TCEAL3	5.15238395115432e-16	0.352015199002753	0.312	0.092	1.00023229643759e-11	Fibroblasts	TCEAL3
CBX1	5.63287288662355e-16	0.372553438294847	0.305	0.088	1.09350961348023e-11	Fibroblasts	CBX1
SYNE1	8.39315862946944e-16	0.291824707061068	0.312	0.086	1.6293638847389e-11	Fibroblasts	SYNE1
VMP1	1.02331876142885e-15	0.435016209055006	0.61	0.291	1.98656871156183e-11	Fibroblasts	VMP1
DNAJB41	1.09148359567431e-15	0.478712713395233	0.376	0.124	2.11889710428254e-11	Fibroblasts	DNAJB4
FOXO31	1.42658708235293e-15	0.32553011550731	0.525	0.218	2.76943350297174e-11	Fibroblasts	FOXO3
UBE2E3	1.65814987711494e-15	0.37230700685373	0.418	0.155	3.21896635644322e-11	Fibroblasts	UBE2E3
IFT57	1.7572606684926e-15	0.284943649996077	0.397	0.135	3.41137013574468e-11	Fibroblasts	IFT57
TMEM1091	1.76764245289692e-15	0.362206236378644	0.461	0.177	3.4315242938088e-11	Fibroblasts	TMEM109
MYO1C1	2.02271061172556e-15	0.307747559335267	0.262	0.067	3.92668811054283e-11	Fibroblasts	MYO1C
MYOF	2.11152977221733e-15	0.337411546768912	0.255	0.067	4.09911274680551e-11	Fibroblasts	MYOF
SNHG32	2.85218165430576e-15	0.520622141351102	0.801	0.498	5.53694024550377e-11	Fibroblasts	SNHG32
PRKCSH	3.01405663801823e-15	0.348329016718853	0.475	0.192	5.85118815138479e-11	Fibroblasts	PRKCSH
CRIM11	3.17901351805914e-15	0.2795083475651	0.255	0.064	6.1714189426082e-11	Fibroblasts	CRIM1
FRMD4B	3.19107115095623e-15	0.408529109883575	0.397	0.141	6.19482642535132e-11	Fibroblasts	FRMD4B
HACD3	4.09678900312283e-15	0.30039448241959	0.277	0.075	7.95309649176234e-11	Fibroblasts	HACD3
ST6GALNAC6	4.34473055383157e-15	0.33551088703279	0.326	0.098	8.43442542415322e-11	Fibroblasts	ST6GALNAC6
GADD45A	4.52067837839734e-15	0.428456906882655	0.511	0.206	8.77599293598275e-11	Fibroblasts	GADD45A
NME3	6.75656018162405e-15	0.35050921288408	0.56	0.247	1.31165102805868e-10	Fibroblasts	NME3
UBB	7.08039865474039e-15	0.408064091567793	0.943	0.852	1.37451779084475e-10	Fibroblasts	UBB
SMIM7	7.44006674802053e-15	0.283489557482322	0.461	0.179	1.44434015779322e-10	Fibroblasts	SMIM7
TMEM14C2	8.40446289817627e-15	0.47151594608529	0.645	0.327	1.63155838242296e-10	Fibroblasts	TMEM14C
GADD45G	9.06673092169504e-15	0.521651575915286	0.27	0.072	1.76012447382866e-10	Fibroblasts	GADD45G
SELENOF	9.79753556226783e-15	0.445788051253661	0.674	0.351	1.90199557870305e-10	Fibroblasts	SELENOF
DDAH22	1.04852570186659e-14	0.405372719541638	0.539	0.239	2.03550294503361e-10	Fibroblasts	DDAH2
ANXA4	1.11214371450466e-14	0.30653113755747	0.426	0.159	2.1590045929679e-10	Fibroblasts	ANXA4
EMC41	1.12106987444209e-14	0.473056962605176	0.496	0.222	2.17633294725443e-10	Fibroblasts	EMC4
UBE2E2	1.16880991105602e-14	0.395219935444573	0.298	0.094	2.26901068033306e-10	Fibroblasts	UBE2E2
DAP	1.25814130232881e-14	0.437555339015556	0.404	0.158	2.44242971021093e-10	Fibroblasts	DAP
CCS	1.26227132724972e-14	0.341621233118602	0.326	0.105	2.45044732758988e-10	Fibroblasts	CCS
SPON21	1.3266640386449e-14	0.296220595585838	0.255	0.063	2.57545289822134e-10	Fibroblasts	SPON2
MRPL40	1.47479269720504e-14	0.320415378298584	0.348	0.117	2.86301506308414e-10	Fibroblasts	MRPL40
HES41	1.48665401615647e-14	0.515579604785476	0.348	0.117	2.88604144156456e-10	Fibroblasts	HES4
CNRIP1	1.52085635202814e-14	0.271959644317425	0.298	0.085	2.95243843619223e-10	Fibroblasts	CNRIP1
SMIM20	1.72273993700684e-14	0.343332810827865	0.333	0.109	3.34435503971137e-10	Fibroblasts	SMIM20
CAVIN21	2.35506957556913e-14	0.262110158844643	0.319	0.094	4.57189656705234e-10	Fibroblasts	CAVIN2
ADD3	2.52373179466533e-14	0.330385227744735	0.397	0.143	4.8993205329838e-10	Fibroblasts	ADD3
YIPF31	2.63035798608943e-14	0.355081349725763	0.418	0.164	5.10631395839541e-10	Fibroblasts	YIPF3
PWWP3A	2.67312433740621e-14	0.25524173945422	0.27	0.075	5.18933627620668e-10	Fibroblasts	PWWP3A
PIGT	2.75581305376748e-14	0.276337991843207	0.426	0.163	5.34985988127882e-10	Fibroblasts	PIGT
ALDH21	3.95374642476033e-14	0.314668122785464	0.574	0.243	7.67540793438723e-10	Fibroblasts	ALDH2
HDDC2	4.31846758931821e-14	0.359383090263655	0.383	0.141	8.38344113114345e-10	Fibroblasts	HDDC2
GLG11	4.39774421863863e-14	0.32033061595756	0.376	0.132	8.53734085164317e-10	Fibroblasts	GLG1
ARID5B3	4.53452846839707e-14	0.270564167724005	0.66	0.304	8.80288011569924e-10	Fibroblasts	ARID5B
RFTN1	4.56227264147653e-14	0.414721596463017	0.305	0.095	8.8567398788984e-10	Fibroblasts	RFTN1
ILK	5.59391846048262e-14	0.358097370082203	0.383	0.141	1.08594739073349e-09	Fibroblasts	ILK
NDUFB7	5.59717299853918e-14	0.404686791083597	0.638	0.331	1.08657919420641e-09	Fibroblasts	NDUFB7
ZNF4281	6.57768525538354e-14	0.403972291273627	0.475	0.206	1.27692603862761e-09	Fibroblasts	ZNF428
PSMC3	8.25193644297727e-14	0.409325486392353	0.482	0.204	1.60194842167518e-09	Fibroblasts	PSMC3
PHLDA1	1.20832817548776e-13	0.526073850638029	0.539	0.249	2.34572748707438e-09	Fibroblasts	PHLDA1
SOCS31	1.23330124644783e-13	1.00623123230122	0.553	0.314	2.39420770972918e-09	Fibroblasts	SOCS3
PDIA31	1.54651907677649e-13	0.435198107409528	0.709	0.428	3.0022574837462e-09	Fibroblasts	PDIA3
PARK7	1.57315039853704e-13	0.420476903155222	0.837	0.501	3.05395686867996e-09	Fibroblasts	PARK7
FRA10AC1	1.7045187516727e-13	0.37331889665212	0.262	0.075	3.30898225262221e-09	Fibroblasts	FRA10AC1
IFITM21	1.98075159248067e-13	0.378028181548423	0.809	0.503	3.84523306648273e-09	Fibroblasts	IFITM2
RPL5	2.10567627888966e-13	0.343431535460867	0.993	0.909	4.08774936020849e-09	Fibroblasts	RPL5
SULT1A1	2.27667436402204e-13	0.267475340627518	0.262	0.075	4.41970794287598e-09	Fibroblasts	SULT1A1
CLIC41	2.44140853681314e-13	0.315255417389828	0.34	0.123	4.73950639251535e-09	Fibroblasts	CLIC4
MDH1	2.79888659966541e-13	0.356498928134212	0.496	0.214	5.43347855593046e-09	Fibroblasts	MDH1
CD82	2.91173971238485e-13	0.506949844803838	0.411	0.171	5.65256030365271e-09	Fibroblasts	CD82
MOCS2	3.35262244072516e-13	0.320455866334752	0.298	0.097	6.50844594417975e-09	Fibroblasts	MOCS2
KCTD121	3.48933779945545e-13	0.461078196677927	0.404	0.166	6.77385147008286e-09	Fibroblasts	KCTD12
DYNC1LI21	3.58010089672409e-13	0.250228229787489	0.39	0.143	6.95004987081048e-09	Fibroblasts	DYNC1LI2
ANXA22	3.70970577507486e-13	0.377801737825793	0.844	0.5	7.20165182115283e-09	Fibroblasts	ANXA2
HNMT	3.94044509519379e-13	0.343631688437822	0.369	0.135	7.6495860632997e-09	Fibroblasts	HNMT
SMARCE1	4.63438584590611e-13	0.287367203822809	0.426	0.169	8.99673324265753e-09	Fibroblasts	SMARCE1
HDLBP	5.22540669335035e-13	0.376750194708765	0.454	0.201	1.0144082013801e-08	Fibroblasts	HDLBP
MLXIP	5.41389729867257e-13	0.25518193373991	0.312	0.103	1.05099988259131e-08	Fibroblasts	MLXIP
HSPA1B1	7.17115224283562e-13	0.540796478218785	0.369	0.141	1.39213578490168e-08	Fibroblasts	HSPA1B
CHMP51	7.58821757904843e-13	0.292086251755647	0.489	0.217	1.47310067862067e-08	Fibroblasts	CHMP5
OSTC	8.83068013833737e-13	0.408996418214785	0.617	0.345	1.71429993525543e-08	Fibroblasts	OSTC
NRP21	9.3191304122459e-13	0.348748236747786	0.291	0.093	1.8091227869293e-08	Fibroblasts	NRP2
MRPS18B	9.60976115036794e-13	0.339924999503743	0.369	0.141	1.86554293212093e-08	Fibroblasts	MRPS18B
LAMP11	1.07840199593917e-12	0.421667897097853	0.61	0.321	2.09350179471671e-08	Fibroblasts	LAMP1
CDC5L	1.23426411674834e-12	0.261478563388131	0.362	0.129	2.39607692984356e-08	Fibroblasts	CDC5L
CUEDC21	1.31100928468446e-12	0.399223753641317	0.34	0.131	2.54506232435794e-08	Fibroblasts	CUEDC2
CLTA1	1.40877505125249e-12	0.410766143002629	0.681	0.395	2.73485500699646e-08	Fibroblasts	CLTA
IP6K2	1.40944892533837e-12	0.274990748455445	0.369	0.138	2.73616319875938e-08	Fibroblasts	IP6K2
MRPL43	1.42330969447753e-12	0.285795060295377	0.426	0.174	2.76307110988923e-08	Fibroblasts	MRPL43
ACADVL	1.61356767752481e-12	0.36070716182283	0.504	0.232	3.13241893237891e-08	Fibroblasts	ACADVL
PSMB51	1.69166989458922e-12	0.297019984706568	0.475	0.211	3.28403876636605e-08	Fibroblasts	PSMB5
H1FX1	1.74847899777875e-12	0.349284664804121	0.404	0.161	3.39432227838789e-08	Fibroblasts	H1FX
MYLIP1	2.04866775174724e-12	0.256895213395667	0.475	0.196	3.97707870646691e-08	Fibroblasts	MYLIP
ADAM9	2.59418009525523e-12	0.330321561415866	0.291	0.1	5.03608181891897e-08	Fibroblasts	ADAM9
YIF1A	2.96848051628999e-12	0.344553533584836	0.362	0.146	5.76271122627375e-08	Fibroblasts	YIF1A
PRDX6	3.27722883915944e-12	0.365890745576718	0.695	0.402	6.36208434546022e-08	Fibroblasts	PRDX6
EEF2	3.85515831751279e-12	0.421060668852153	0.901	0.784	7.48401884178758e-08	Fibroblasts	EEF2
OSBPL1A	3.9383602297799e-12	0.313954291051392	0.255	0.08	7.64553871407173e-08	Fibroblasts	OSBPL1A
LMO4	4.54968402350573e-12	0.335186290301314	0.475	0.216	8.83230159483168e-08	Fibroblasts	LMO4
BSCL2	4.58378155800614e-12	0.350214972650246	0.355	0.138	8.89849513855731e-08	Fibroblasts	BSCL2
KCNQ1OT11	5.22031686180791e-12	0.439861172278874	0.433	0.189	1.01342011238277e-07	Fibroblasts	KCNQ1OT1
KXD1	5.9701388777862e-12	0.303683658782736	0.362	0.14	1.15898306034463e-07	Fibroblasts	KXD1
TMED91	6.11905986138593e-12	0.353358857151727	0.56	0.285	1.18789309089085e-07	Fibroblasts	TMED9
ATP5PO	6.91054328180152e-12	0.356849412358123	0.794	0.472	1.34154376729613e-07	Fibroblasts	ATP5PO
EPB41L4A-AS1	7.09389834151366e-12	0.365480830345374	0.461	0.206	1.37713848503805e-07	Fibroblasts	EPB41L4A-AS1
SEC31A	7.22521505251586e-12	0.324385090047792	0.383	0.155	1.4026309981449e-07	Fibroblasts	SEC31A
PPP2R1A1	7.52967988807844e-12	0.312999474166098	0.418	0.176	1.46173675667267e-07	Fibroblasts	PPP2R1A
STOML2	7.90992787982171e-12	0.33911628713846	0.411	0.178	1.53555429930979e-07	Fibroblasts	STOML2
LRP10	8.06327963813707e-12	0.308811331858249	0.397	0.163	1.56532447615155e-07	Fibroblasts	LRP10
PIK3R12	8.33758198727565e-12	0.298630248531998	0.674	0.339	1.61857479118982e-07	Fibroblasts	PIK3R1
SEPTIN2	8.35597954008455e-12	0.288333339963587	0.61	0.312	1.62214630811661e-07	Fibroblasts	SEPTIN2
SBDS1	8.62470019472555e-12	0.405772957678926	0.553	0.287	1.67431304880207e-07	Fibroblasts	SBDS
ANKRD10	9.78616471323676e-12	0.264193588567476	0.298	0.102	1.89978815578065e-07	Fibroblasts	ANKRD10
ADD11	1.06818085957278e-11	0.253520872020301	0.355	0.134	2.07365950268864e-07	Fibroblasts	ADD1
GABARAPL21	1.14054053085361e-11	0.312711249905986	0.674	0.388	2.21413133254611e-07	Fibroblasts	GABARAPL2
CEBPB1	1.15649704453821e-11	0.455929751913506	0.695	0.393	2.24510771256203e-07	Fibroblasts	CEBPB
NCK2	1.2404395627995e-11	0.257059759332835	0.255	0.076	2.40806532326267e-07	Fibroblasts	NCK2
CHMP31	1.26492680630824e-11	0.355204511488532	0.553	0.276	2.45560240908618e-07	Fibroblasts	CHMP3
IFI61	1.28919039007866e-11	0.453275614154558	0.589	0.297	2.50270530425971e-07	Fibroblasts	IFI6
MIF	1.44860262039965e-11	0.357714409475764	0.894	0.719	2.81217226698184e-07	Fibroblasts	MIF
SEC621	1.55678329613317e-11	0.336705380512852	0.865	0.587	3.02218341278333e-07	Fibroblasts	SEC62
